Original first level,Original second level,Original third level,NLP Type,NLP first level,NLP second level,NLP third level,NLP fourth level,mapped_nlp
context,economy,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
context,socio-economic,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
context,socio-economics,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
context overview,macroeconomic analysis,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
contexto,economía,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
contexto,económico,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
contexto,sanciones / impacto de las sanciones,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
covid-19,gdp per capita,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
crisis context,economy,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
demographic and social context,brain drain and its effects on development,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic context,inequality,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic context,informal economy,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic context,poverty,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic context,debt sustainability and fiscal space,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic context,economic dependency and vulnerability to external shocks,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic stability,currency devaluation or hyperinflation,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic stability,inability to pay public sector wages,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,banking system,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,currency,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,economic sanctions,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,general,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,overview,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,strength of currency,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,supply chain,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,taliban revenue sources,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economics,trade,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,actors' source of revenue,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,banking system,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,business environment,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,currency,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,economic sectors & trade,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,financial mechanisms,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,governmental policies,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,impacts of covid-19,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,impacts of tigray conflict,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economy,,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
effects systems and networks,financial system,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
effects systems and networks,labour market,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
labour markets (performance),,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
population profile,economic profile,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
social and economic rights,fiscal and macro-economic space,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
economic instability,,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
climate variability & change,climate and environmental-related displacement,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
climate variability & change,hazard exposure/risks and their impacts,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
climate variability & change,\thazard exposure/risks and their impacts,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
climate variability & change,stress on ecosystems and natural resources,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
context,climate & environment,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
context,environment,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
context,environmental,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
contexto,medio ambiente,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
contexto,medioambiente,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
environment & climate,exploitation of natural resources,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
epidemiology,ecology/environment,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
"food security, agriculture & land",increased competition over natural resources,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
wash,ambiente y cambio climatico,,1D,Context,Environment,,,"['subpillars_1d->Context->Environment', 'first_level_tags->pillars_1d->Context']"
city capacity,policy environment,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,legal  & policy,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,legal & policy,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,legal and policy,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,legal or normative framework,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,legal/policy,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,policy/normative framework,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context,policy/normative frameworks,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
context overview,political and legal updates,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
contexto,aspectos legales,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
convention relating to the status of stateless persons,statelessness,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
crisis overview,legal and normative frameworks,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
democratic space,"new legislation limiting media, online freedoms and public assembly",,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
democratic space,use of legal provisions and social norms to stifle opposition,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
institutional environment,legal system and justice,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
institutional environment,women’s right,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
"legal, constitutional and institutional developments",constitutional reform,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
"legal, constitutional and institutional developments",independence of judiciary,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
"legal, constitutional and institutional developments",other,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
marco legal,,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
regional & global influences,lack of agreement on international boundaries,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
"social cohesion, gender equality & non-discrimination",discriminatory legislation criminalizing practices or behaviours of specific groups,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
"social cohesion, gender equality & non-discrimination",interpretation/implementation of law and policy in a manner that results in discrimination,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
"social cohesion, gender equality & non-discrimination",lack of adequate legal protection against discrimination,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
unicef sector,social policy,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
violations of the legislative and policy matters,effective regulatory enforcement,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
violations of the legislative and policy matters,retrogressive legislation  or policy measures,,1D,Context,Legal & policy,,,"['subpillars_1d->Context->Legal & policy', 'first_level_tags->pillars_1d->Context']"
gobernanza,,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
actors,actors,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
areas of control,areas of control,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
context,geopolitics,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
context,political,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
context,politics,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
contexto,gobernabilidad,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
crisis context,politics,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
democratic elections,electoral fraud,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
effects systems and networks,political system,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
factors,political context and social movements,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
factors (societal level),political context and social movements,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
free and fair elections,electoral dispute mechanisms/ remedies,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
free and fair elections,incitement by political parties,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
free and fair elections,militarization of elections,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political context,change in the main political system,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political context,current ethnic politics,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political context,main political events,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political context,political context,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political party,,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political stability,challenges to political system / government,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political stability,corruption which compromises state interests,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political stability,deep-rooted or antagonistic political polarisation,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political stability,disputed election processes / outcomes,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
political stability,election violence,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
politics,foreign policy,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
politics,local government,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
politics,major events,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
politics,national government,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
politics,"tribal, community and unofficial",,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
"social cohesion, gender equality & non-discrimination",hate speech in the public domain,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
violations of the legislative and policy matters,credible truth and        reconciliation process,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
violations of the legislative and policy matters,effective parliament,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
gbv situation analysis,main forms of gbv and trends,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
regional govt,,,1D,Context,Politics,,,"['subpillars_1d->Context->Politics', 'first_level_tags->pillars_1d->Context']"
areas of control,areas controlled (who/what/why),,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
areas of control,changes of areas of control,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
areas of control,contentious borders,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
attacks,cyber attacks,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
attacks,infrastructure,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
attacks,major cities,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
attacks,military infrastructure,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
attacks,strategic infrastructure,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
change in area of control,area of control,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict,conflict event,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict,security measures,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict areas,conflict affected areas,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict areas,conflict affected urban centre,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict parties,nation-states,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict parties,non-state,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
conflict parties,state,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,conflict dynamics,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,"conflict, peace & security",,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,current security situation,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,safety and security,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,security,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,security & stability,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context overview,conflict dynamics,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
contexto,defensa y soberanía,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
crisis context,hazard/conflict,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
crisis context,security,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
destruction of property,looting,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
free and fair elections,intra- and inter-party violence,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
free and fair elections,looting/ destruction of property,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
freedom of movement,curfews,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
freedom of movement,roadblocks,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
gangs/militias,,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
humanitarian access,homicidios,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
humanitarian pillars,conflict,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
humanitarian security,conflict,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
humanitarian security,terrorism,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
internal security,non-state armed groups and militia,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
internal security,"security threats, terrorist acts or violence by criminal organizations or armed extremists",,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
internal security,widespread incitement to violence,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
regional & global influences,spill-over of conflict /criminal actors from outside,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
security,,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
security & protection,crime and violence,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
seguridad,,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
type of crisis,political instability,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
violencia,,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
political stability,prolonged or widespread social unrest /disruption,,1D,Context,Security & stability,,,"['subpillars_1d->Context->Security & stability', 'first_level_tags->pillars_1d->Context']"
context,indigenous,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
context,social,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
context,social cohesion,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
context,society and community,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
context,socio cultural,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
context,socio-cultural,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
contexto,sociedad/comunidad,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
contexto,socio-cultural,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
contexto,sociocultural,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
demographic and social context,gender inequality,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
factors,gender related concerns,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
factors,population and ethnicity,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
factors,religion and dominant beliefs,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
factors,social organisation and administrative structure,,1D,Context,Socio cultural,,,"['subpillars_1d->Context->Socio cultural', 'first_level_tags->pillars_1d->Context']"
